id;room_code;mode;bible_study_session_id;group_number;current_card_id;current_level;used_card_ids;pass_count;status;created_at;updated_at;timer_duration;timer_started_at;timer_running;sharing_mode;shared_member_ids;current_drawer_id;current_drawer_card_id;drawer_order
7a54ee02-2174-4523-b585-5e1cd6ec3846;CTF3;session;2275728a-e362-4476-87ed-bcaf577ea1ef;4;c46de569-77f2-4ec7-a3af-7dd921f327c6;L1;"[""c46de569-77f2-4ec7-a3af-7dd921f327c6""]";0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:11:05.87463+00;60;;false;false;[];;;[]
cf0441a5-fe09-4f66-9d46-29ba98417fa8;YT8V;session;2275728a-e362-4476-87ed-bcaf577ea1ef;5;c46de569-77f2-4ec7-a3af-7dd921f327c6;L1;"[""c46de569-77f2-4ec7-a3af-7dd921f327c6""]";0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:11:05.87463+00;60;;false;false;[];;;[]
d791b078-5c54-42ff-bb96-3e87cac7fa08;EQQA;session;2275728a-e362-4476-87ed-bcaf577ea1ef;16;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
dd2bce84-1228-4981-8174-01249fa355e2;FGHQ;session;2275728a-e362-4476-87ed-bcaf577ea1ef;17;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
6386b624-153d-403e-9ead-46b2eb215e07;XDHS;session;2275728a-e362-4476-87ed-bcaf577ea1ef;18;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
7f649afa-b7d7-4f59-a558-4cd6fe5bd2c1;GCC7;session;2275728a-e362-4476-87ed-bcaf577ea1ef;19;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
510347da-922a-408d-b514-b62743d3d078;LR52;session;2275728a-e362-4476-87ed-bcaf577ea1ef;20;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
6588a0d2-16ff-406c-b21d-192c4852e09f;4GF6;session;2275728a-e362-4476-87ed-bcaf577ea1ef;21;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
6d094981-c6f0-4f2e-b6ac-6245957aed89;JHBZ;session;2275728a-e362-4476-87ed-bcaf577ea1ef;22;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
86cc3635-240e-4b0d-ac04-b8c6b4de764b;YCYR;session;2275728a-e362-4476-87ed-bcaf577ea1ef;23;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
7d3e9950-aefc-44d1-95c7-63603b666d9b;JRCH;session;2275728a-e362-4476-87ed-bcaf577ea1ef;24;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
bc13d524-d078-4375-8c36-c13cf0ca18c2;G8BM;session;2275728a-e362-4476-87ed-bcaf577ea1ef;25;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
9998403b-5863-4cec-85c7-f7376939d27c;J327;session;2275728a-e362-4476-87ed-bcaf577ea1ef;26;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
f032abd6-6a1e-46c7-829e-e3087d7e96fa;2YLA;session;2275728a-e362-4476-87ed-bcaf577ea1ef;27;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
cc677232-b8ae-4763-ae16-0efc4fbefa59;B35L;session;2275728a-e362-4476-87ed-bcaf577ea1ef;28;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
